ds,yhat
1985-01-01,109.345847424
1986-01-01,127.39472727033528
1987-01-01,145.44360712223246
1988-01-01,163.49248711002963
1989-01-01,181.59081608409477
1990-01-01,199.6397020545223
1991-01-01,217.70397853015425
1992-01-01,235.77920448240022
1993-01-01,253.9254207410623
1994-01-01,272.0220571738811
1995-01-01,290.1396513085796
1996-01-01,308.28542036205084
1997-01-01,327.5400835392647
1998-01-01,346.75994342307655
1999-01-01,365.97980330688847
2000-01-01,385.20820816007995
2001-01-01,404.4925364217019
2002-01-01,423.750015056469
2003-01-01,443.0169773567796
2004-01-01,462.2839396570902
2005-01-01,481.61093555198664
2006-01-01,502.24603636646265
2007-01-01,537.881446057097
2008-01-01,573.5429762588566
2009-01-01,609.3022092830867
2010-01-01,662.8079687080983
2011-01-01,726.4784486217363
2012-01-01,790.1546910660775
2013-01-01,854.0053891139092
2014-01-01,917.6816317025941
2015-01-01,981.3552960472229
2016-01-01,1037.2371414708743
2017-01-01,1093.2710411804344
2018-01-01,1149.1518428033557
2019-01-01,1205.0326444262773
2020-01-01,1260.9134460491994
2021-01-01,1316.9473457587587
2022-01-01,1372.8281473816803
2023-01-01,1428.7089490046023
2024-01-01,1484.5897506275237
2024-12-31,1540.4705522504453
2025-12-31,1596.3513538733669
2026-12-31,1652.2321554962891
2027-12-31,1708.1129571192107
2028-12-31,1764.1468568287703
2029-12-31,1820.0276584516919
2030-12-31,1875.9084600746132
2031-12-31,1931.7892616975348
2032-12-31,1987.823161407095
2033-12-31,2043.7039630300167
