ds,yhat
1985-01-01,-0.04871781242
1986-01-01,-0.04731082178255967
1987-01-01,-0.045903825999638236
1988-01-01,-0.0444968318252454
1989-01-01,-0.04308598287229259
1990-01-01,-0.04167899237240089
1991-01-01,-0.04027199902769906
1992-01-01,-0.03886500867907828
1993-01-01,-0.037454163257521676
1994-01-01,-0.03604717260487642
1995-01-01,-0.03464018014670439
1996-01-01,-0.03323318351674399
1997-01-01,-0.031822330440070816
1998-01-01,-0.030415331253351763
1999-01-01,-0.029008332066632708
2000-01-01,-0.027601335963900325
2001-01-01,-0.026190477488415263
2002-01-01,-0.024783469089284613
2003-01-01,-0.02337645226870785
2004-01-01,-0.02196943544813109
2005-01-01,-0.01880139702021032
2006-01-01,-0.015551952056941895
2007-01-01,-0.011509751749623338
2008-01-01,-0.006531387551104986
2009-01-01,-0.001539383998615298
2010-01-01,0.8457378900917855
2011-01-01,1.6938308002941007
2012-01-01,2.542990685311344
2013-01-01,3.395701074071305
2014-01-01,4.246081653025913
2015-01-01,5.097051830930873
2016-01-01,5.94816450564962
2017-01-01,20.77366760632005
2018-01-01,35.55866386791759
2019-01-01,50.343660129515065
2020-01-01,65.1286563911126
2021-01-01,79.95415949178297
2022-01-01,94.73915575338044
2023-01-01,109.52415201497804
2024-01-01,124.30914827657553
2024-12-31,139.094144538173
2025-12-31,153.87914079977048
2026-12-31,168.6641370613682
2027-12-31,183.44913332296568
2028-12-31,198.27463642363603
2029-12-31,213.0596326852335
2030-12-31,227.844628946831
2031-12-31,242.62962520842848
2032-12-31,257.45512830909894
2033-12-31,272.2401245706964
